hour,month,day_of_week,is_weekend,pm25,pm10,so2,nox,no2,co,wind_speed,temperature,humidity,pm_ratio,nox_so2_ratio,label
8,2,0,0,86.09,92.11,8.58,16.35,6.5,0.723,0.37,22.1,78.3,0.935,1.906,seasonal_inversion
4,12,1,0,209.05,283.86,47.44,25.98,18.49,0.372,2.09,25.5,37.7,0.736,0.548,industrial
23,7,5,1,158.31,231.27,80.06,41.26,28.98,0.818,1.09,28.4,81.5,0.685,0.515,industrial
18,7,6,1,34.68,65.7,5.77,18.09,12.97,0.308,7.62,32.9,64.1,0.528,3.134,unknown
6,11,0,0,64.6,105.73,17.27,21.56,13.97,1.259,0.31,15.6,73.5,0.611,1.248,seasonal_inversion
21,6,1,0,-15.99,-27.3,11.18,21.85,12.19,0.369,4.83,29.8,79.3,0.5,1.954,unknown
16,12,2,0,204.65,363.44,9.95,19.31,8.69,0.247,1.65,29.8,15.0,0.563,1.941,agricultural_burning
9,4,2,0,34.08,51.52,5.97,99.77,50.17,2.264,1.17,19.1,61.9,0.661,16.715,vehicular
8,2,2,0,70.32,151.43,1.93,82.66,47.42,3.081,2.35,27.8,39.7,0.464,42.932,vehicular
4,5,1,0,167.96,212.63,41.89,28.24,11.67,1.085,3.96,19.7,68.7,0.79,0.674,industrial
12,3,4,0,130.76,196.17,3.07,12.32,9.42,2.729,3.3,32.3,45.9,0.667,4.007,agricultural_burning
15,3,6,1,198.47,279.44,6.56,40.25,21.08,2.08,1.65,36.0,56.0,0.71,6.137,agricultural_burning
16,11,2,0,126.87,297.54,8.84,35.97,21.52,0.24,4.67,32.5,51.3,0.426,4.067,agricultural_burning
9,7,5,1,56.52,88.27,3.93,31.23,20.78,0.152,2.69,23.9,82.3,0.64,7.948,unknown
14,11,5,1,167.31,302.47,13.21,6.27,3.08,1.448,4.52,41.5,75.8,0.553,0.474,agricultural_burning
4,12,4,0,161.86,264.81,52.45,36.82,27.8,0.466,3.1,28.4,79.4,0.611,0.702,industrial
18,11,3,0,172.2,237.71,12.34,12.02,10.35,2.024,3.53,33.2,23.4,0.724,0.975,agricultural_burning
6,12,1,0,85.69,113.12,19.19,22.8,15.03,0.707,0.97,12.4,70.3,0.758,1.188,seasonal_inversion
6,8,1,0,159.46,205.79,82.09,35.58,19.95,0.82,2.56,29.9,59.4,0.775,0.433,industrial
18,2,0,0,72.44,67.93,5.25,78.76,50.78,2.504,1.5,39.7,55.8,1.066,14.989,vehicular
8,9,3,0,30.93,35.67,2.66,24.33,12.36,0.677,7.83,30.5,46.4,0.867,9.161,unknown
8,1,3,0,73.03,116.15,9.37,31.63,15.29,0.972,0.85,14.7,75.2,0.629,3.378,seasonal_inversion
8,9,2,0,40.42,46.14,-0.3,17.0,14.98,0.607,1.78,35.4,54.7,0.876,5.0,unknown
22,3,0,0,37.02,74.99,10.88,30.5,21.92,0.825,7.2,23.0,33.4,0.494,2.803,unknown
7,1,4,0,103.02,151.92,14.57,25.95,18.19,1.219,0.53,19.0,75.9,0.678,1.781,seasonal_inversion
0,11,5,1,47.28,44.05,12.25,15.12,12.01,0.54,6.64,32.8,45.9,1.073,1.234,unknown
8,11,1,0,74.29,68.6,5.48,52.89,36.16,0.752,1.44,19.2,71.7,1.083,9.657,seasonal_inversion
14,11,3,0,117.52,261.67,7.98,22.66,12.98,0.817,3.53,33.5,41.9,0.449,2.84,agricultural_burning
9,4,6,1,56.95,159.39,1.68,15.95,8.85,1.159,3.47,26.5,29.3,0.357,9.473,agricultural_burning
7,5,0,0,77.98,161.94,6.02,126.7,83.47,3.66,2.48,23.2,65.9,0.482,21.063,vehicular
8,9,2,0,122.72,238.69,7.06,53.76,33.95,3.408,2.41,33.5,69.1,0.514,7.618,vehicular
5,12,1,0,92.42,139.89,19.92,31.08,18.17,1.311,1.2,19.0,93.7,0.661,1.56,seasonal_inversion
18,12,5,1,180.43,266.49,10.78,23.17,11.74,3.314,4.1,25.3,15.0,0.677,2.15,agricultural_burning
9,2,4,0,91.12,109.03,9.76,22.07,18.77,1.465,0.51,7.3,81.0,0.836,2.262,seasonal_inversion
9,11,2,0,147.77,316.04,3.95,28.02,15.94,1.144,4.89,27.3,62.7,0.468,7.087,agricultural_burning
3,4,3,0,40.91,33.42,14.49,22.17,13.13,0.641,1.35,27.0,57.7,1.224,1.53,unknown
14,4,6,1,9.03,-2.35,10.52,50.59,28.12,0.132,1.62,29.6,76.2,0.5,4.808,unknown
1,2,4,0,47.21,78.81,-1.4,18.89,12.61,0.828,2.14,29.6,70.8,0.599,5.0,unknown
2,4,0,0,119.19,116.34,32.1,45.16,33.77,0.892,3.77,24.3,98.6,1.024,1.407,industrial
10,10,0,0,59.34,99.85,1.05,74.03,38.14,1.933,1.38,32.3,57.4,0.594,70.469,vehicular
16,1,3,0,64.06,94.9,3.45,6.56,4.52,0.775,4.18,36.0,37.2,0.675,1.901,unknown
18,9,2,0,80.82,126.8,2.44,91.07,42.54,3.025,0.53,28.3,48.1,0.637,37.391,vehicular
12,10,5,1,145.01,203.2,8.82,12.09,5.12,1.812,3.12,32.7,65.1,0.714,1.372,agricultural_burning
0,7,2,0,199.05,183.43,46.66,33.62,20.21,1.387,3.45,26.5,94.5,1.085,0.72,industrial
8,1,6,1,63.74,85.4,18.67,34.4,32.51,1.132,1.19,16.4,75.8,0.746,1.842,seasonal_inversion
10,10,5,1,103.11,274.58,5.02,20.55,6.75,0.536,4.55,34.0,43.3,0.376,4.089,agricultural_burning
8,12,3,0,62.61,87.39,3.7,85.35,39.4,2.572,2.12,30.0,32.7,0.716,23.091,vehicular
6,9,0,0,51.39,66.85,11.53,7.63,5.91,0.406,5.19,37.1,53.7,0.769,0.662,unknown
10,12,5,1,73.26,85.14,10.87,24.35,13.47,1.514,0.74,16.7,80.2,0.861,2.239,seasonal_inversion
1,12,3,0,140.87,167.69,78.14,37.91,20.19,0.62,3.89,24.8,85.5,0.84,0.485,industrial
4,12,3,0,127.93,191.51,104.7,66.23,40.63,0.741,2.66,23.0,66.6,0.668,0.633,industrial
0,5,6,1,213.33,283.14,66.91,41.84,28.61,0.437,3.44,29.3,57.0,0.753,0.625,industrial
7,11,3,0,95.4,128.62,16.2,23.98,14.32,0.528,0.65,7.9,68.0,0.742,1.481,seasonal_inversion
20,10,0,0,51.79,81.55,8.77,9.83,4.33,0.345,1.85,30.5,96.7,0.635,1.121,unknown
6,5,1,0,130.04,193.63,58.12,43.24,17.0,0.844,1.62,26.6,69.1,0.672,0.744,industrial
13,6,1,0,27.85,34.12,10.35,27.57,15.02,0.26,1.09,33.7,58.5,0.816,2.665,unknown
17,11,4,0,146.84,272.63,-1.37,21.91,8.48,2.314,1.81,29.9,40.2,0.539,5.0,agricultural_burning
17,3,2,0,66.02,86.12,10.33,98.39,62.92,1.21,0.84,23.2,25.3,0.767,9.525,vehicular
10,1,4,0,63.96,125.29,3.9,90.84,65.52,3.582,1.68,28.7,51.2,0.511,23.307,vehicular
16,12,1,0,145.49,246.86,1.01,21.53,13.85,1.632,1.33,29.0,34.1,0.589,21.414,agricultural_burning
6,8,6,1,28.79,32.1,3.42,7.44,5.42,0.787,1.65,41.4,46.6,0.897,2.174,unknown
9,12,2,0,102.1,149.89,22.81,22.02,12.17,0.754,1.24,19.6,86.0,0.681,0.965,seasonal_inversion
7,6,4,0,98.81,145.21,9.89,48.05,31.0,0.882,2.75,25.8,46.9,0.68,4.858,vehicular
3,6,0,0,174.66,216.04,104.68,58.49,35.54,0.514,3.11,26.8,80.2,0.808,0.559,industrial
18,3,2,0,249.52,321.64,12.63,22.36,12.96,1.904,4.41,30.0,37.0,0.776,1.769,agricultural_burning
16,10,5,1,54.67,116.79,11.66,22.48,12.51,1.265,3.32,37.2,37.1,0.468,1.928,agricultural_burning
13,3,6,1,126.51,235.97,3.66,18.17,8.92,2.122,2.08,27.5,33.1,0.536,4.96,agricultural_burning
9,7,1,0,78.61,105.13,1.89,59.59,35.62,2.48,2.42,27.3,36.5,0.748,31.549,vehicular
8,9,5,1,34.17,49.88,9.13,6.65,3.03,0.924,5.56,28.7,41.7,0.685,0.728,unknown
2,12,4,0,132.37,181.81,52.31,41.46,32.97,0.931,3.34,26.7,31.7,0.728,0.793,industrial
4,11,2,0,35.74,40.36,5.01,20.66,14.92,0.372,4.72,47.7,39.6,0.885,4.124,unknown
16,1,0,0,54.73,79.92,8.96,6.58,0.26,0.614,3.78,22.6,59.6,0.685,0.734,unknown
18,3,0,0,151.08,287.42,3.08,26.69,14.15,0.923,4.7,27.0,42.3,0.526,8.676,agricultural_burning
15,10,2,0,153.87,287.27,9.09,17.66,10.69,2.293,1.52,33.2,68.1,0.536,1.942,agricultural_burning
9,2,1,0,45.49,80.83,4.06,64.45,47.46,2.327,2.33,37.7,40.8,0.563,15.879,vehicular
3,6,4,0,154.34,158.13,74.88,58.74,33.47,0.743,3.01,32.2,85.8,0.976,0.785,industrial
16,11,3,0,157.22,260.38,2.74,29.4,9.26,1.659,4.73,20.7,54.2,0.604,10.716,agricultural_burning
2,5,4,0,166.87,205.11,95.39,36.56,17.78,1.534,2.22,28.6,70.8,0.814,0.383,industrial
5,2,5,1,89.91,129.09,17.1,32.53,22.14,0.967,0.75,20.5,93.9,0.697,1.902,seasonal_inversion
3,3,1,0,51.95,85.47,5.59,13.34,4.84,0.764,2.4,24.5,43.8,0.608,2.388,unknown
5,11,6,1,37.04,22.44,11.05,-2.39,-0.28,1.253,0.56,22.2,55.4,1.651,-0.216,seasonal_inversion
5,11,3,0,110.94,192.71,6.37,33.25,17.79,0.632,0.95,22.7,49.1,0.576,5.221,seasonal_inversion
8,8,3,0,53.12,105.18,8.03,78.89,45.12,2.779,0.67,32.4,64.7,0.505,9.825,vehicular
22,10,5,1,163.29,224.03,51.13,37.05,22.25,0.268,2.55,25.2,78.1,0.729,0.725,industrial
18,12,6,1,22.59,35.72,1.44,27.33,19.52,0.445,3.19,16.5,62.7,0.632,19.025,unknown
12,3,0,0,39.63,63.91,1.31,-1.52,-3.28,0.317,7.04,27.2,68.3,0.62,-1.161,unknown
6,1,1,0,155.31,230.31,86.91,64.31,47.52,1.05,0.82,28.0,65.8,0.674,0.74,industrial
11,10,1,0,192.99,334.29,6.18,44.05,26.3,2.299,1.63,28.0,41.3,0.577,7.132,agricultural_burning
9,2,5,1,148.47,205.4,13.11,25.55,19.85,0.574,1.37,13.6,81.9,0.723,1.948,seasonal_inversion
7,2,4,0,63.31,80.51,13.03,22.1,19.11,1.048,0.04,18.2,78.2,0.786,1.696,seasonal_inversion
8,10,5,1,32.98,42.07,9.56,47.05,21.84,0.433,2.77,30.7,50.6,0.784,4.923,unknown
17,10,5,1,40.77,54.87,0.38,19.24,7.79,0.3,7.54,27.3,46.7,0.743,50.84,unknown
18,10,0,0,122.91,317.54,1.3,19.52,11.89,0.763,2.81,29.7,22.5,0.387,15.057,agricultural_burning
6,8,3,0,192.98,217.56,47.17,19.74,19.77,0.366,1.72,41.2,86.1,0.887,0.418,industrial
17,5,2,0,47.47,83.36,6.91,118.0,67.33,2.69,2.54,24.1,53.6,0.569,17.075,vehicular
2,6,0,0,176.27,253.75,85.03,49.15,33.76,0.953,1.16,32.5,49.1,0.695,0.578,industrial
18,9,4,0,18.09,29.76,2.75,16.8,10.7,0.568,7.83,16.6,74.0,0.608,6.109,unknown
14,3,1,0,92.18,172.78,11.44,24.0,9.91,2.035,3.92,27.8,49.3,0.533,2.098,agricultural_burning
9,11,4,0,195.67,320.71,2.84,28.63,22.67,1.522,4.47,31.1,60.6,0.61,10.078,agricultural_burning
9,2,6,1,89.9,103.23,19.2,12.23,5.98,1.228,0.82,10.9,83.9,0.871,0.637,seasonal_inversion
17,4,1,0,140.99,280.83,9.63,31.57,18.13,1.271,1.85,33.9,46.0,0.502,3.277,agricultural_burning
20,6,2,0,40.54,43.25,12.94,10.66,6.05,0.412,5.16,26.0,56.9,0.938,0.824,unknown
10,12,3,0,57.63,103.95,7.65,110.73,70.53,2.202,2.41,26.6,61.7,0.554,14.473,vehicular
17,6,4,0,39.03,28.73,9.36,17.85,9.94,0.28,7.71,32.4,52.7,1.359,1.906,unknown
18,11,0,0,140.14,224.12,23.74,8.34,6.33,1.964,2.59,31.7,47.5,0.625,0.351,agricultural_burning
17,8,4,0,31.72,41.49,9.73,76.41,43.92,1.732,0.59,29.9,66.0,0.765,7.852,vehicular
7,11,3,0,114.58,171.33,9.97,33.18,19.9,1.213,0.63,21.9,64.2,0.669,3.328,seasonal_inversion
11,4,6,1,188.17,349.82,5.41,25.45,15.92,0.596,2.52,27.7,53.6,0.538,4.701,agricultural_burning
2,8,5,1,229.79,264.47,69.19,20.81,9.82,1.793,3.93,29.7,81.3,0.869,0.301,industrial
19,8,0,0,132.82,167.14,2.99,39.57,33.98,1.864,1.94,27.2,63.4,0.795,13.251,vehicular
3,2,1,0,197.25,203.93,61.75,59.8,38.62,0.35,2.82,33.0,73.6,0.967,0.968,industrial
14,10,3,0,56.19,70.03,14.98,3.24,3.78,0.533,7.87,22.7,51.8,0.802,0.217,unknown
6,1,0,0,93.39,134.28,17.33,33.79,17.02,0.986,0.47,24.7,77.7,0.695,1.949,seasonal_inversion
13,6,0,0,63.81,60.17,13.61,13.79,12.15,0.713,2.66,41.3,59.0,1.06,1.013,unknown
18,11,4,0,151.86,250.92,9.45,6.57,4.1,1.821,4.56,35.7,55.9,0.605,0.695,agricultural_burning
17,3,3,0,137.72,277.47,7.03,2.43,0.01,2.064,1.65,31.0,46.4,0.496,0.346,agricultural_burning
16,11,1,0,169.66,267.23,5.48,25.53,10.35,1.822,2.83,43.5,36.6,0.635,4.662,agricultural_burning
8,9,3,0,83.84,141.58,2.82,64.76,32.69,1.159,1.67,35.7,57.4,0.592,22.929,vehicular
10,12,2,0,59.78,102.76,21.92,27.35,12.69,1.229,0.52,22.9,63.2,0.582,1.248,seasonal_inversion
22,2,1,0,113.89,131.79,83.38,55.72,33.21,0.797,2.0,16.2,61.3,0.864,0.668,industrial
17,12,4,0,4.22,8.09,3.84,8.21,6.17,0.639,7.53,26.9,71.1,0.521,2.139,unknown
12,3,2,0,54.05,47.77,15.76,2.27,1.85,0.255,5.68,38.3,46.0,1.132,0.144,unknown
9,9,1,0,58.15,60.37,15.42,15.17,8.15,0.032,5.82,32.4,68.8,0.963,0.984,unknown
10,12,0,0,92.71,150.2,6.16,95.73,46.55,2.433,2.16,28.2,76.2,0.617,15.529,vehicular
21,7,1,0,29.35,47.5,7.74,12.61,4.98,0.748,7.62,22.0,54.5,0.618,1.628,unknown
8,1,0,0,51.32,110.4,4.42,78.45,38.31,1.589,2.27,37.7,58.6,0.465,17.73,vehicular
23,5,5,1,112.29,164.93,87.74,47.49,30.5,0.881,3.66,22.1,67.6,0.681,0.541,industrial
17,11,4,0,117.95,246.52,6.77,23.14,14.67,1.749,3.72,19.8,27.5,0.478,3.42,agricultural_burning
15,3,0,0,108.53,218.5,5.76,21.71,12.3,1.084,2.72,34.3,54.7,0.497,3.767,agricultural_burning
7,11,0,0,99.26,168.76,4.98,83.33,36.47,3.141,2.12,26.8,55.7,0.588,16.727,vehicular
3,7,6,1,36.73,74.95,13.4,22.11,15.09,0.163,3.44,33.9,50.6,0.49,1.649,unknown
18,3,1,0,222.99,367.44,5.25,16.49,6.01,2.132,1.43,42.9,39.5,0.607,3.139,agricultural_burning
11,4,0,0,174.06,241.26,5.25,31.69,17.09,2.623,3.79,35.1,17.8,0.721,6.038,agricultural_burning
9,12,4,0,72.33,136.15,20.03,40.35,27.59,0.659,0.26,24.0,86.5,0.531,2.014,seasonal_inversion
16,12,3,0,27.71,46.88,15.62,14.89,8.92,0.728,4.37,27.9,37.9,0.591,0.953,unknown
13,6,6,1,36.1,69.97,10.89,10.09,4.27,0.279,7.14,41.1,16.1,0.516,0.927,unknown
7,2,1,0,120.63,214.24,12.45,34.78,23.55,0.825,0.65,21.0,76.0,0.563,2.792,seasonal_inversion
8,2,0,0,46.05,42.67,18.17,32.14,18.79,0.639,1.18,25.2,72.6,1.079,1.769,seasonal_inversion
17,4,2,0,223.56,356.56,11.39,16.56,10.29,2.68,2.54,26.4,43.7,0.627,1.454,agricultural_burning
21,9,4,0,44.17,51.05,9.12,28.49,18.49,0.4,2.86,29.5,43.9,0.865,3.125,unknown
17,4,6,1,110.44,189.64,16.47,19.97,14.61,2.619,1.3,25.8,15.0,0.582,1.212,agricultural_burning
6,1,0,0,129.69,148.66,4.66,24.61,11.84,0.406,0.75,17.7,70.1,0.872,5.28,seasonal_inversion
11,12,5,1,112.19,224.45,3.65,23.15,12.42,2.126,3.02,26.8,38.6,0.5,6.35,agricultural_burning
11,11,4,0,100.83,230.65,12.2,16.27,10.87,1.287,3.62,38.1,51.5,0.437,1.334,agricultural_burning
16,12,1,0,222.46,347.05,8.32,27.65,15.92,1.392,3.42,30.7,20.7,0.641,3.325,agricultural_burning
8,11,1,0,141.04,197.68,18.68,14.91,5.0,0.444,1.27,14.4,79.1,0.713,0.798,seasonal_inversion
0,12,4,0,153.02,213.94,68.7,36.58,31.96,0.922,1.92,29.6,40.3,0.715,0.532,industrial
6,5,3,0,177.44,222.85,78.9,56.88,42.86,0.738,2.25,19.9,74.7,0.796,0.721,industrial
9,10,2,0,70.25,91.56,4.55,118.02,84.7,1.667,2.88,35.5,49.8,0.767,25.931,vehicular
21,10,6,1,28.67,30.44,10.88,18.34,11.91,0.13,5.79,14.8,84.9,0.942,1.686,unknown
9,1,2,0,126.49,167.14,9.88,14.04,12.06,0.482,0.7,16.0,67.9,0.757,1.421,seasonal_inversion
9,12,1,0,50.54,47.21,9.06,27.21,24.38,0.827,0.33,23.1,65.3,1.071,3.004,seasonal_inversion
14,12,6,1,89.82,237.37,3.14,34.41,16.47,1.012,2.59,30.4,51.7,0.378,10.952,agricultural_burning
7,2,1,0,42.81,37.81,2.04,17.9,7.94,0.429,4.47,23.6,62.2,1.132,8.759,unknown
10,12,6,1,90.36,263.28,3.5,25.15,18.4,0.83,1.98,26.8,56.1,0.343,7.193,agricultural_burning
10,2,3,0,118.95,167.98,8.1,27.73,15.75,0.115,0.23,20.6,67.1,0.708,3.425,seasonal_inversion
3,2,6,1,40.58,68.06,12.19,33.95,18.78,0.152,6.66,20.6,86.7,0.596,2.785,unknown
3,12,5,1,205.56,247.77,111.74,27.76,18.16,0.833,3.4,29.4,99.0,0.83,0.248,industrial
7,2,6,1,69.69,86.09,8.37,17.72,14.79,0.699,0.89,25.8,58.1,0.809,2.117,seasonal_inversion
7,2,5,1,45.65,61.93,18.31,38.23,19.61,0.961,0.03,20.3,65.3,0.737,2.088,seasonal_inversion
18,10,1,0,147.71,321.77,10.31,25.95,11.38,1.034,1.37,31.5,20.7,0.459,2.516,agricultural_burning
22,1,0,0,128.25,176.9,82.87,54.76,40.21,0.776,1.8,32.5,55.6,0.725,0.661,industrial
4,1,5,1,66.98,122.69,5.61,19.54,12.26,0.562,1.2,16.4,66.6,0.546,3.485,unknown
20,8,1,0,16.21,35.88,11.18,1.53,0.75,0.206,7.19,36.3,79.8,0.452,0.137,unknown
19,3,5,1,8.18,20.87,3.29,10.09,6.96,0.32,4.37,15.3,58.2,0.392,3.069,unknown
19,9,3,0,81.6,171.9,6.37,75.94,51.78,2.511,1.44,36.4,71.8,0.475,11.917,vehicular
7,8,3,0,20.81,38.44,2.66,12.01,3.97,0.439,1.46,25.8,49.7,0.541,4.506,unknown
14,10,5,1,113.88,235.86,12.05,24.82,8.52,0.758,3.67,29.9,30.1,0.483,2.06,agricultural_burning
9,12,6,1,111.89,157.13,8.1,29.06,23.87,1.239,0.9,12.8,74.8,0.712,3.587,seasonal_inversion
4,1,4,0,126.08,143.94,84.36,36.49,28.37,1.113,2.76,33.9,89.5,0.876,0.433,industrial
15,10,4,0,191.34,350.48,2.73,12.71,2.01,2.331,3.86,23.8,41.9,0.546,4.663,agricultural_burning
7,10,0,0,82.46,162.0,10.36,87.29,48.97,2.135,1.74,26.4,78.4,0.509,8.425,vehicular
10,2,5,1,85.89,131.28,1.02,42.43,29.69,1.205,0.54,14.7,91.6,0.654,41.409,seasonal_inversion
2,4,1,0,148.82,182.78,97.12,36.33,21.94,0.356,2.29,27.7,73.2,0.814,0.374,industrial
17,6,5,1,47.81,69.6,13.5,30.5,14.77,0.277,1.73,30.5,81.6,0.687,2.259,unknown
12,11,5,1,67.47,228.11,14.9,34.92,24.46,2.191,4.97,30.1,63.9,0.296,2.343,agricultural_burning
22,9,3,0,44.69,63.44,6.29,20.42,11.93,0.613,4.56,29.7,78.8,0.705,3.245,unknown
6,5,5,1,161.72,159.62,85.14,37.7,19.08,0.646,2.29,19.2,64.5,1.013,0.443,industrial
19,4,2,0,74.46,115.95,11.52,109.55,57.65,3.076,2.9,22.2,45.6,0.642,9.506,vehicular
0,12,0,0,153.86,189.43,89.83,28.2,13.2,0.445,2.0,28.5,96.3,0.812,0.314,industrial
9,12,3,0,87.28,110.62,19.39,33.84,11.63,0.97,1.44,18.4,74.1,0.789,1.745,seasonal_inversion
13,10,4,0,24.77,42.81,1.74,14.14,8.71,0.474,4.66,31.7,72.9,0.579,8.139,unknown
11,11,4,0,157.47,258.46,3.49,17.9,11.96,2.0,4.14,21.1,35.0,0.609,5.134,agricultural_burning
2,3,2,0,147.96,205.2,44.85,31.81,23.63,0.4,2.87,17.4,56.2,0.721,0.709,industrial
10,6,0,0,111.31,149.89,6.44,100.31,62.07,1.879,2.95,29.6,68.3,0.743,15.583,vehicular
20,10,1,0,84.72,156.26,0.92,93.38,46.95,2.24,2.09,34.0,38.2,0.542,101.971,vehicular
7,11,0,0,111.91,149.43,11.11,28.15,22.26,0.817,0.38,19.2,71.9,0.749,2.535,seasonal_inversion
5,10,1,0,136.5,124.89,79.12,37.2,19.51,1.191,1.59,21.6,56.4,1.093,0.47,industrial
23,1,6,1,39.69,62.8,8.02,26.33,13.44,0.474,7.29,32.8,39.6,0.632,3.285,unknown
7,2,3,0,73.92,90.86,14.87,38.21,26.1,0.839,0.75,20.0,62.0,0.814,2.569,seasonal_inversion
1,7,2,0,177.25,230.55,117.13,29.03,16.42,0.797,0.67,32.1,44.7,0.769,0.248,industrial
4,3,6,1,127.52,177.13,85.54,15.56,9.05,0.713,2.35,25.9,54.4,0.72,0.182,industrial
4,3,4,0,141.47,130.72,84.64,46.13,23.64,0.55,0.92,28.2,76.0,1.082,0.545,industrial
14,11,4,0,97.87,194.36,3.52,14.11,10.64,2.735,1.81,32.2,69.5,0.504,4.007,agricultural_burning
14,12,4,0,95.95,225.14,9.11,31.42,21.07,1.698,1.8,40.2,67.1,0.426,3.448,agricultural_burning
17,11,4,0,148.54,263.96,3.74,13.23,6.36,1.272,2.02,37.3,58.8,0.563,3.538,agricultural_burning
15,4,2,0,141.4,303.79,12.61,16.69,6.86,1.71,2.21,37.1,33.6,0.465,1.323,agricultural_burning
15,7,6,1,59.69,77.13,11.56,21.78,14.52,0.381,2.21,20.3,63.0,0.774,1.885,unknown
17,10,3,0,201.57,368.23,6.23,33.24,24.48,1.712,2.98,39.4,40.8,0.547,5.332,agricultural_burning
22,10,0,0,47.47,44.93,9.85,21.29,9.07,0.437,3.49,55.5,68.3,1.056,2.161,unknown
17,3,6,1,111.71,144.46,5.8,29.65,18.0,0.518,3.07,37.5,45.9,0.773,5.116,agricultural_burning
8,6,3,0,48.18,113.97,5.39,74.71,35.98,1.997,2.5,31.7,58.9,0.423,13.874,vehicular
10,2,2,0,92.6,129.5,7.72,76.36,52.58,2.394,0.91,23.3,43.1,0.715,9.885,vehicular
15,4,2,0,191.44,333.75,9.78,27.05,9.68,1.332,3.9,38.2,45.6,0.574,2.766,agricultural_burning
9,1,4,0,61.41,89.36,5.93,61.21,31.39,2.736,1.34,27.1,62.9,0.687,10.318,vehicular
22,12,2,0,160.54,245.52,77.87,33.41,22.89,0.758,1.94,28.3,55.6,0.654,0.429,industrial
16,12,3,0,221.86,354.34,7.78,22.02,12.77,2.71,4.52,34.8,48.0,0.626,2.83,agricultural_burning
5,4,1,0,19.82,38.25,8.67,-3.28,-0.45,0.867,7.03,25.6,48.6,0.518,-0.379,unknown
23,9,2,0,52.4,57.37,12.15,41.24,23.16,0.426,3.11,32.5,56.3,0.913,3.395,unknown
7,8,3,0,66.46,125.83,6.39,41.91,32.07,1.892,2.86,30.4,57.4,0.528,6.557,vehicular
20,2,3,0,102.82,155.01,5.29,56.92,41.21,2.466,1.73,26.5,46.3,0.663,10.768,vehicular
6,12,6,1,33.46,16.18,7.59,9.91,4.56,0.694,6.29,38.9,61.9,2.068,1.305,unknown
0,7,1,0,-3.79,-23.44,16.08,30.15,15.66,0.496,7.35,27.9,58.0,0.5,1.875,unknown
17,7,0,0,75.93,152.63,5.84,75.54,51.4,2.046,0.65,34.6,76.1,0.497,12.946,vehicular
6,12,4,0,63.69,118.3,14.83,29.23,19.74,0.857,0.32,23.2,73.6,0.538,1.971,seasonal_inversion
23,2,4,0,23.9,48.66,9.68,28.36,14.62,0.267,5.08,36.3,68.8,0.491,2.928,unknown
10,12,6,1,133.37,203.62,10.0,16.28,5.75,0.403,0.73,14.0,85.7,0.655,1.628,seasonal_inversion
2,12,3,0,114.84,119.29,71.8,31.86,16.99,0.82,1.98,22.7,63.9,0.963,0.444,industrial
7,6,0,0,33.68,54.91,6.94,20.1,15.74,0.422,3.29,17.1,82.1,0.613,2.897,unknown
2,11,3,0,179.46,240.0,59.33,22.88,14.68,0.819,3.12,32.6,49.9,0.748,0.386,industrial
7,12,0,0,66.74,111.24,9.75,76.6,40.27,2.668,1.6,37.6,36.0,0.6,7.857,vehicular
5,3,2,0,123.53,157.81,83.97,28.09,11.18,1.212,1.5,22.3,50.9,0.783,0.334,industrial
14,4,3,0,302.31,472.58,12.77,15.67,4.83,3.089,3.01,35.5,19.5,0.64,1.227,agricultural_burning
6,2,0,0,69.52,106.37,3.8,57.76,41.79,0.819,1.36,19.6,80.0,0.654,15.197,seasonal_inversion
10,8,4,0,50.8,101.66,5.24,122.7,75.48,3.723,2.7,25.8,66.1,0.5,23.437,vehicular
5,12,5,1,70.97,124.8,25.0,46.25,30.88,0.432,0.04,18.5,75.5,0.569,1.85,seasonal_inversion
17,6,1,0,79.76,135.24,6.21,89.53,63.21,2.238,2.99,24.1,54.7,0.59,14.42,vehicular
16,12,6,1,112.94,198.99,10.85,18.63,10.44,1.438,1.8,33.4,59.4,0.568,1.717,agricultural_burning
13,4,3,0,37.61,38.65,16.31,10.99,4.36,0.438,6.15,45.9,52.5,0.973,0.674,unknown
20,2,0,0,42.92,89.81,4.88,80.75,54.7,3.157,2.59,40.4,37.3,0.478,16.56,vehicular
8,4,4,0,90.66,140.4,6.22,125.34,77.17,2.755,0.67,34.6,56.2,0.646,20.157,vehicular
10,5,1,0,52.0,46.84,7.29,32.28,24.01,0.509,5.61,36.4,73.7,1.11,4.427,unknown
17,9,4,0,95.39,103.82,5.16,127.82,79.4,2.117,0.93,33.9,42.4,0.919,24.789,vehicular
23,10,0,0,176.48,241.28,92.61,9.82,7.85,0.723,3.73,34.8,62.3,0.731,0.106,industrial
8,5,4,0,53.36,105.44,1.44,60.97,38.68,3.144,2.74,28.0,42.0,0.506,42.464,vehicular
7,1,0,0,85.6,112.66,1.72,91.16,47.64,3.988,1.32,28.0,58.4,0.76,52.939,vehicular
10,3,2,0,153.56,330.61,11.5,14.19,10.18,1.492,1.67,29.8,57.1,0.464,1.234,agricultural_burning
20,5,2,0,81.33,168.18,3.92,118.34,86.63,1.984,1.39,35.0,74.0,0.484,30.183,vehicular
7,12,4,0,77.64,113.44,10.35,24.34,15.0,1.237,0.03,21.2,87.0,0.684,2.353,seasonal_inversion
